ent_num,program,sdn_name,sdn_type,title
1460,CUBA,MICHAEL MONTANEZ,individual,
1479,CUBA,"MOONEX INTERNATIONAL, S.A.",,
1543,CUBA,SAMUEL NAVARRO MARTINEZ,individual,
1544,CUBA,"NAVIERA MARITIMA DE AROSA, S.A.",,
1554,CUBA,"NIPPON-CARIBBEAN CO., LTD.",,
1555,CUBA,NIREF,,
1570,CUBA,NORDSTRAND LTD.,,
1571,CUBA,NORDSTRAND MARITIME AND TRADING COMPANY,,
1572,CUBA,MANUEL ANTONIO NORIEGA,individual,
1597,CUBA,OCTUBRE HOLDING SOCIETE ANONIME,,
1625,CUBA,JOSE ANTONIO REGO ORS,individual,
1626,CUBA,DARIO ORTEGA PINA,individual,
1627,CUBA,GUADALUPE ORTIZ,individual,
1639,CUBA,"PAMIT C. SHIPPING CO., LTD.",,
1641,CUBA,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,,
1644,CUBA,PANOAMERICANA,,
1650,CUBA,JOSE PENA TORRES,individual,
1651,CUBA,VICTOR PENA,individual,
1655,CUBA,ALFONSO PEREZ,individual,
1656,CUBA,MANUEL MARTIN PEREZ,individual,
1657,CUBA,OSVALDO PEREZ CRUZ,individual,
1658,CUBA,"PESCABRAVA, S.A.",,
1659,CUBA,"PESCABRAVA, S.A.",,
1660,CUBA,"PESCABRAVA, S.A.",,
1675,CUBA,PIONEER SHIPPING LTD.,,
1694,CUBA,LAZARO PONCE DE LEON GOMEZ,individual,
1700,CUBA,PRELASA,,
1701,CUBA,PRENSA LATINA CANADA LTD.,,
1702,CUBA,PRENSA LATINA,,
1703,CUBA,"PRESA, S.A.",,
1704,CUBA,PRIMA EXPORT/IMPORT,,
1736,CUBA,PROMOCIONES ARTISTICAS,,
1737,CUBA,"PROMOTORA ANDINA, S.A.",,
1751,CUBA,QUIMINTER GMBH,,
1798,CUBA,"RENT-A-CAR, S.A.",,
1799,CUBA,GUILLERMO REYES VERGARA,individual,
1809,CUBA,ANTONIO ROCHA,individual,
1810,CUBA,JESUS RODRIQUEZ BORGES,individual,
1811,CUBA,JOSE JULIO RODRIQUEZ,individual,"Chairman, Havana International Bank"
1812,CUBA,CHARLES ROMEO,individual,
1813,CUBA,MIRIA CONTRERAS ROPERT,individual,
1814,CUBA,ROBERTO ROQUE PEREZ,individual,
1844,CUBA,RAMON MIGUEL RUIZ POO,individual,
1863,CUBA,RAFAEL GARCIA SANTAMARINA DE LA TORRE,individual,
1864,CUBA,ANABEL SANTO,individual,
1887,CUBA,"SERVIMPEX, S.A.",,
1888,CUBA,"SERVINAVES, S.A.",,
1903,CUBA,SHIPLEY SHIPPING CORP.,,
1910,CUBA,FELICIDAD SIEIRO DE NORIEGA,individual,
1965,CUBA,"SOCIETA COMMERCIA MINERALI E METTALLI, SRL",,
2003,CUBA,STAR 1,vessel,
2011,CUBA,"SUPLIDORA LATINO AMERICANA, S.A.",,
2060,CUBA,TECHNIC HOLDING INC.,,
2087,CUBA,R.F. TOLEDO,individual,"Managing Director, Havana International Bank"
2089,CUBA,MANUEL TORRES,individual,"Representative, Banco Nacional de Cuba"
2090,CUBA,ARNALDO TOSCO GARCIA,individual,
2095,CUBA,TRAMP PIONEER SHIPPING CO.,,
2096,CUBA,"TRANSIT, S.A.",,
2109,CUBA,"TROBER, S.A.",,
2110,CUBA,TROPIC TOURS GMBH,,
2114,CUBA,"TRUST IMPORT-EXPORT, S.A.",,
2159,CUBA,UNITED FAIR AGENCIES,,
2166,CUBA,OSCAR D. VASQUES,individual,
2167,CUBA,JOSE VAZ,individual,"Managing Director, Havana International Bank"
2182,CUBA,"VIACON INTERNATIONAL, INC.",,
2183,CUBA,"VIACON INTERNATIONAL, INC.",,
2184,CUBA,"VIAJES GUAMA, S.A.",,
2186,CUBA,VINALES TOURS,,
2227,CUBA,MELVIA ISABEL GALLEGOS YAM,individual,
2228,CUBA,"YAMARU TRADING CO., LTD.",,
2674,SDT,ABU ABBAS,individual,Director of PALESTINE LIBERATION FRONT - ABU ABBAS FACTION
2675,SDT,SHAYKH UMAR ABD AL RAHMAN,individual,Chief Ideological Figure of ISLAMIC GAMA'AT
2676,"SDGT,SDT",DR. AYMAN AL ZAWAHIRI,individual,Operational and Military Leader of JIHAD GROUP
2677,SDT,ABBUD AL-ZUMAR,individual,Factional Leader of JIHAD GROUP
2678,SDT,ABD AL AZIZ AWDA,individual,Chief Ideological Figure of PALESTINIAN ISLAMIC JIHAD - SHIQAQI
2679,SDT,SHAYKH MUHAMMAD HUSAYN FADLALLAH,individual,Leading Ideological Figure of HIZBALLAH
2680,SDT,GEORGE HABBASH,individual,Secretary General of POPULAR FRONT FOR THE LIBERATION OF PALESTINE
2681,SDT,NAYIF HAWATMA,individual,Secretary General of DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION
2682,SDT,MOHAMMAD SHAWQI ISLAMBOULI,individual,Military Leader of ISLAMIC GAMA'AT
2683,SDT,AHMAD JABRIL,individual,Secretary General of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND
2685,SDT,TALAL MUHAMMAD RASHID NAJI,individual,Principal Deputy of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND
2686,"SDT,SYRIA",HASAN NASRALLAH,individual,Secretary General of HIZBALLAH
2687,SDT,ABU NIDAL,individual,Founder and Secretary General of ABU NIDAL ORGANIZATION
2688,SDT,TALAT FOUAD QASEM,individual,Propaganda Leader of ISLAMIC GAMA'AT
2689,SDT,FATHI SHAQAQI,individual,Secretary General of PALESTINIAN ISLAMIC JIHAD-SHIQAQI
2690,SDT,SUBHI TUFAYLI,individual,Former Secretary General and Current Senior Figure of HIZBALLAH
2691,"SDGT,SDT",SHEIK AHMED ISMAIL YASSIN,individual,
2831,IRAQ2,MIDCO FINANCE S.A.,,
3748,CUBA,COBALT REFINERY CO. INC.,,
3749,CUBA,LA COMPANIA GENERAL DE NIQUEL,,
3750,CUBA,INTERNATIONAL COBALT CO. INC.,,
3751,CUBA,MOA NICKEL SA,,
